NIT;FECHA_CORTE;EMPRESA;CIIU;TIPO_EMPRESA;TIPO EMPRESA_NOMBRE;CIUDAD;PERIODO;INGRESOS;COSTOS;GANANCIA_BRUTA;OTROS_ING;GASTOS;GASTOS_ADMON;OTROS_GASTOS;OTRAS_GANANCIAS;EBIT;ING_FIN;COSTOS_FIN;EBIT_SINIMPTO;IMPUESTO;UTILIDAD;UTILIDAD_CALCULADA
800007367;31/12/2023;HIDROYUNDA SAS;F4390 - Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 25.632.684;$ 21.232.101;$ 4.400.583;$ 506.364;$ 608.544;$ 1.892.351;$ 83.889;$ 0;$ 2.322.163;$ 517.033;$ 137.801;$ 2.701.395;$ 1.028.321;$ 1.673.074;$ 1.673.074
800007367;31/12/2023;HIDROYUNDA SAS;F4390 - Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 16.555.245;$ 14.052.058;$ 2.503.187;$ 305.103;$ 575.980;$ 1.412.954;$ 80.847;$ 0;$ 738.509;$ 156.676;$ 111.206;$ 783.979;$ 488.962;$ 295.017;$ 295.017
800045250;31/12/2023;MANUEL GAITAN E HIJOS CIA S EN C;G4731 - Comercio al por menor de combustible para automotores;4; SOCIEDAD EN COMANDITA;BOGOTA D.C.;Periodo Actual;$ 25.483.860;$ 23.344.022;$ 2.139.838;$ 209.664;$ 514.598;$ 1.003.488;$ 449;$ 0;$ 830.967;$ 2;$ 624.238;$ 206.731;$ 55.907;$ 150.824;$ 150.824
800045250;31/12/2023;MANUEL GAITAN E HIJOS CIA S EN C;G4731 - Comercio al por menor de combustible para automotores;4; SOCIEDAD EN COMANDITA;BOGOTA D.C.;Periodo Anterior;$ 21.483.627;$ 19.766.195;$ 1.717.432;$ 177.527;$ 465.864;$ 963.806;$ 19.765;$ 0;$ 445.524;$ 0;$ 308.798;$ 136.726;$ 47.855;$ 88.871;$ 88.871
800045357;31/12/2023;MINERALES EXCLUSIVOS SAS;C2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 16.760.591;$ 9.037.651;$ 7.722.940;$ 4.897;$ 3.892.469;$ 2.313.011;$ 154.452;$ 202;$ 1.368.107;$ 186;$ 39.196;$ 1.329.097;$ 485.532;$ 843.565;$ 843.565
800045357;31/12/2023;MINERALES EXCLUSIVOS SAS;C2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Anterior;$ 20.977.201;$ 11.849.215;$ 9.127.986;$ 864.500;$ 5.168.080;$ 1.670.009;$ 187.773;$ 58.839;$ 3.025.463;$ 389;$ 126.510;$ 2.899.342;$ 882.178;$ 2.017.164;$ 2.017.164
800055554;31/12/2023;PUNTOS Y MERCADOS SAS;G4652 - Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 15.294.690;$ 13.000.913;$ 2.293.777;$ 432.404;$ 2.143.794;$ 231.946;$ 117.637;$ 252.635;$ 485.439;$ 18.200;$ 141.023;$ 362.616;$ 94.782;$ 267.834;$ 267.834
800062782;31/12/2023;SERVIEFECTIVO S.A.S;N8291 - Actividades de agencias de cobranza y oficinas de calificación crediticia;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 6.865.622;$ 4.578.073;$ 2.287.549;$ 386.784;$ 236.524;$ 1.479.857;$ 127.836;$ 0;$ 830.116;$ 692.957;$ 159.252;$ 1.363.821;$ 626.028;$ 737.793;$ 737.793
800079832;31/12/2023;FITOGRANOS COMERCIALIZADORA AGROINDUSTRIAL LTDA;G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario;3; SOCIEDAD LIMITADA;BOGOTA D.C.;Periodo Anterior;$ 9.877.275;$ 3.948.832;$ 5.928.443;$ 9.423;$ 1.670.740;$ 1.074.817;$ 181.152;$ 124.944;$ 3.136.101;$ 38.492;$ 353.356;$ 2.821.237;$ 1.012.136;$ 1.809.101;$ 1.809.101
800081507;31/12/2023;RITCHI SAS;C1410 - Confección de prendas de vestir, excepto prendas de piel;8; SOCIEDAD POR ACCIONES SIMPLIFICADA SAS;BOGOTA D.C.;Periodo Actual;$ 17.292.566;$ 11.017.431;$ 6.275.135;$ 5.435.207;$ 4.184.085;$ 1.662.835;$ 695.018;$ 601.193;$ 5.769.597;$ 70.847;$ 792.276;$ 5.048.168;$ 394.477;$ 4.653.691;$ 4.653.691
